panel,group,rho,trial,apl_lcc,lcc_fraction,connected,mean_hypergraph_vertex_degree
gamma,2.0,2.0,9,9.201055085265612,0.9533333333333334,0,3.723333333333333
n,300,2.0,9,9.201055085265612,0.9533333333333334,0,3.723333333333333
gamma,2.0,2.5,9,8.38811698951763,0.9966666666666667,0,4.52
n,300,2.5,9,8.38811698951763,0.9966666666666667,0,4.52
gamma,2.0,3.0,9,7.7852797916994,0.9966666666666667,0,5.3533333333333335
n,300,3.0,9,7.7852797916994,0.9966666666666667,0,5.3533333333333335
gamma,2.0,3.5,9,7.144553433144037,0.9966666666666667,0,5.94
n,300,3.5,9,7.144553433144037,0.9966666666666667,0,5.94
gamma,2.0,4.0,9,6.781627647714604,1.0,1,6.6
n,300,4.0,9,6.781627647714604,1.0,1,6.6
gamma,2.0,4.5,9,6.382452619843924,1.0,1,7.196666666666666
n,300,4.5,9,6.382452619843924,1.0,1,7.196666666666666
gamma,2.0,5.0,9,6.076454849498328,1.0,1,7.876666666666667
n,300,5.0,9,6.076454849498328,1.0,1,7.876666666666667
gamma,2.0,1.5,10,12.173920121554156,0.9066666666666666,0,2.9766666666666666
n,300,1.5,10,12.173920121554156,0.9066666666666666,0,2.9766666666666666
gamma,2.0,2.0,10,8.829864641945179,0.9933333333333333,0,3.9833333333333334
n,300,2.0,10,8.829864641945179,0.9933333333333333,0,3.9833333333333334
gamma,2.0,2.5,10,8.010278706800445,1.0,1,4.733333333333333
n,300,2.5,10,8.010278706800445,1.0,1,4.733333333333333
gamma,2.0,3.0,10,7.261025641025641,1.0,1,5.363333333333333
n,300,3.0,10,7.261025641025641,1.0,1,5.363333333333333
gamma,2.0,3.5,10,6.954113712374582,1.0,1,6.006666666666667
n,300,3.5,10,6.954113712374582,1.0,1,6.006666666666667
gamma,2.0,4.0,10,6.8188628762541805,1.0,1,6.493333333333333
n,300,4.0,10,6.8188628762541805,1.0,1,6.493333333333333
gamma,2.0,4.5,10,6.638394648829432,1.0,1,7.113333333333333
n,300,4.5,10,6.638394648829432,1.0,1,7.113333333333333
gamma,2.0,5.0,10,6.493288740245262,1.0,1,7.723333333333334
n,300,5.0,10,6.493288740245262,1.0,1,7.723333333333334
gamma,2.0,1.5,11,10.143543467208948,0.9366666666666666,0,3.14
n,300,1.5,11,10.143543467208948,0.9366666666666666,0,3.14
gamma,2.0,2.0,11,8.268742309210374,0.98,0,3.99
