gamma,rho,trial,mean_hypergraph_vertex_degree,attempt_level_reference,unique_fraction_attempts,unique_fraction_retained
1.5,4.5,15,7.98,11.437788261495884,0.49866666666666665,0.6702508960573477
1.5,4.5,16,7.86,11.437788261495884,0.4871111111111111,0.67280540208717
1.5,4.5,17,7.786,11.437788261495884,0.4822222222222222,0.6806775407779172
1.5,4.5,18,7.996,11.437788261495884,0.5053333333333333,0.6804308797127468
1.5,4.5,19,7.472,11.437788261495884,0.4631111111111111,0.65125
1.5,4.5,20,7.774,11.437788261495884,0.4902222222222222,0.6549881235154394
1.5,4.5,21,8.164,11.437788261495884,0.5097777777777778,0.6715456674473068
1.5,4.5,22,7.796,11.437788261495884,0.48977777777777776,0.6630565583634176
1.5,4.5,23,7.906,11.437788261495884,0.4951111111111111,0.66388557806913
1.5,4.5,24,8.08,11.437788261495884,0.5026666666666667,0.6724137931034483
1.5,4.5,25,8.068,11.437788261495884,0.5035555555555555,0.6883353584447145
1.5,4.5,26,8.088,11.437788261495884,0.5111111111111111,0.6721215663354764
1.5,4.5,27,8.16,11.437788261495884,0.5066666666666667,0.7011070110701108
1.5,4.5,28,7.964,11.437788261495884,0.5026666666666667,0.6728138013087448
1.5,4.5,29,7.83,11.437788261495884,0.49066666666666664,0.6674727932285369
1.5,5.0,0,8.804,12.708653623884317,0.5,0.6670224119530416
1.5,5.0,1,8.574,12.708653623884317,0.4768,0.6503000545553737
1.5,5.0,2,8.556,12.708653623884317,0.4868,0.6578378378378379
1.5,5.0,3,8.63,12.708653623884317,0.4856,0.6505894962486602
1.5,5.0,4,8.682,12.708653623884317,0.4852,0.6532040926225094
1.5,5.0,5,8.486,12.708653623884317,0.4768,0.6492374727668845
1.5,5.0,6,8.45,12.708653623884317,0.4704,0.6533333333333333
1.5,5.0,7,8.434,12.708653623884317,0.4732,0.6460950300382304
1.5,5.0,8,8.788,12.708653623884317,0.498,0.660828025477707
1.5,5.0,9,8.582,12.708653623884317,0.4832,0.6583106267029972
1.5,5.0,10,8.41,12.708653623884317,0.4784,0.6482384823848238
1.5,5.0,11,8.668,12.708653623884317,0.4928,0.6616541353383458
1.5,5.0,12,8.688,12.708653623884317,0.4896,0.6577109081139173
